Date,cpi
1978-01-31,62.9
1978-02-28,62.9
1978-03-31,63.4
1978-04-28,63.9
1978-05-31,64.5
1978-06-30,65.2
1978-07-31,65.7
1978-08-31,66.0
1978-09-29,66.5
1978-10-31,67.1
1978-11-30,67.4
1978-12-29,67.7
1979-01-31,68.3
1979-02-28,69.1
1979-03-30,69.8
1979-04-30,70.6
1979-05-31,71.5
1979-06-29,72.3
1979-07-31,73.1
1979-08-31,73.8
1979-09-28,74.6
1979-10-31,75.2
1979-11-30,75.9
1979-12-31,76.7
1980-01-31,77.8
1980-02-29,78.9
1980-03-31,80.1
1980-04-30,81.0
1980-05-30,81.8
1980-06-30,82.7
1980-07-31,82.7
1980-08-29,83.3
1980-09-30,84.0
1980-10-31,84.8
1980-11-28,85.5
1980-12-31,86.3
1981-01-30,87.0
1981-02-27,87.9
1981-03-31,88.5
1981-04-30,89.1
1981-05-29,89.8
1981-06-30,90.6
1981-07-31,91.6
1981-08-31,92.3
1981-09-30,93.2
1981-10-30,93.4
1981-11-30,93.7
1981-12-31,94.0
1982-01-29,94.3
1982-02-26,94.6
1982-03-31,94.5
1982-04-30,94.9
1982-05-31,95.8
1982-06-30,97.0
1982-07-30,97.5
1982-08-31,97.7
1982-09-30,97.9
1982-10-29,98.2
1982-11-30,98.0
1982-12-31,97.6
1983-01-31,97.8
1983-02-28,97.9
1983-03-31,97.9
1983-04-29,98.6
1983-05-31,99.2
1983-06-30,99.5
1983-07-29,99.9
1983-08-31,100.2
1983-09-30,100.7
1983-10-31,101.0
1983-11-30,101.2
1983-12-30,101.3
1984-01-31,101.9
1984-02-29,102.4
1984-03-30,102.6
1984-04-30,103.1
1984-05-31,103.4
1984-06-29,103.7
1984-07-31,104.1
1984-08-31,104.5
1984-09-28,105.0
1984-10-31,105.3
1984-11-30,105.3
1984-12-31,105.3
1985-01-31,105.5
1985-02-28,106.0
1985-03-29,106.4
1985-04-30,106.9
1985-05-31,107.3
1985-06-28,107.6
1985-07-31,107.8
1985-08-30,108.0
1985-09-30,108.3
1985-10-31,108.7
1985-11-29,109.0
1985-12-31,109.3
1986-01-31,109.6
1986-02-28,109.3
1986-03-31,108.8
1986-04-30,108.6
1986-05-30,108.9
1986-06-30,109.5
1986-07-31,109.5
1986-08-29,109.7
1986-09-30,110.2
1986-10-31,110.3
1986-11-28,110.4
1986-12-31,110.5
1987-01-30,111.2
1987-02-27,111.6
1987-03-31,112.1
1987-04-30,112.7
1987-05-29,113.1
1987-06-30,113.5
1987-07-31,113.8
1987-08-31,114.4
1987-09-30,115.0
1987-10-30,115.3
1987-11-30,115.4
1987-12-31,115.4
1988-01-29,115.7
1988-02-29,116.0
1988-03-31,116.5
1988-04-29,117.1
1988-05-31,117.5
1988-06-30,118.0
1988-07-29,118.5
1988-08-31,119.0
1988-09-30,119.8
1988-10-31,120.2
1988-11-30,120.3
1988-12-30,120.5
1989-01-31,121.1
1989-02-28,121.6
1989-03-31,122.3
1989-04-28,123.1
1989-05-31,123.8
1989-06-30,124.1
1989-07-31,124.4
1989-08-31,124.6
1989-09-29,125.0
1989-10-31,125.6
1989-11-30,125.9
1989-12-29,126.1
1990-01-31,127.4
