Date,SPX
1978-01-31,89.25
1978-02-28,87.04
1978-03-31,89.21
1978-04-28,96.83
1978-05-31,97.24
1978-06-30,95.53
1978-07-31,100.68
1978-08-31,103.29
1978-09-29,102.54
1978-10-31,93.15
1978-11-30,94.7
1978-12-29,96.11
1979-01-31,99.93
1979-02-28,96.28
1979-03-30,101.59
1979-04-30,101.76
1979-05-31,99.08
1979-06-29,102.91
1979-07-31,103.81
1979-08-31,109.32
1979-09-28,109.32
1979-10-31,101.82
1979-11-30,106.16
1979-12-31,107.94
1980-01-31,114.16
1980-02-29,113.66
1980-03-31,102.09
1980-04-30,106.29
1980-05-30,111.24
1980-06-30,114.24
1980-07-31,121.67
1980-08-29,122.38
1980-09-30,125.46
1980-10-31,127.47
1980-11-28,140.52
1980-12-31,135.76
1981-01-30,129.55
1981-02-27,131.27
1981-03-31,136.0
1981-04-30,132.81
1981-05-29,132.59
1981-06-30,131.21
1981-07-31,130.92
1981-08-31,122.79
1981-09-30,116.18
1981-10-30,121.89
1981-11-30,126.35
1981-12-31,122.55
1982-01-29,120.4
1982-02-26,113.11
1982-03-31,111.96
1982-04-30,116.44
1982-05-31,116.44
1982-06-30,109.61
1982-07-30,107.09
1982-08-31,119.51
1982-09-30,120.42
1982-10-29,133.72
1982-11-30,138.53
1982-12-31,140.64
1983-01-31,145.3
1983-02-28,148.06
1983-03-31,152.96
1983-04-29,164.43
1983-05-31,162.39
1983-06-30,167.64
1983-07-29,162.56
1983-08-31,164.4
1983-09-30,166.07
1983-10-31,163.55
1983-11-30,166.4
1983-12-30,164.93
1984-01-31,163.41
1984-02-29,157.06
1984-03-30,159.18
1984-04-30,160.05
1984-05-31,150.55
1984-06-29,153.18
1984-07-31,150.66
1984-08-31,166.68
1984-09-28,166.1
1984-10-31,166.09
1984-11-30,163.58
1984-12-31,167.24
1985-01-31,179.63
1985-02-28,181.18
1985-03-29,180.66
1985-04-30,179.83
1985-05-31,189.55
1985-06-28,191.85
1985-07-31,190.92
1985-08-30,188.63
1985-09-30,182.08
1985-10-31,189.82
1985-11-29,202.17
1985-12-31,211.28
1986-01-31,211.78
1986-02-28,226.92
1986-03-31,238.9
1986-04-30,235.52
1986-05-30,247.35
1986-06-30,250.84
1986-07-31,236.12
1986-08-29,252.93
1986-09-30,231.32
1986-10-31,243.98
1986-11-28,249.22
1986-12-31,242.17
1987-01-30,274.08
1987-02-27,284.2
1987-03-31,291.7
1987-04-30,288.36
1987-05-29,290.1
1987-06-30,304.0
1987-07-31,318.66
1987-08-31,329.8
1987-09-30,321.83
1987-10-30,251.79
1987-11-30,230.3
1987-12-31,247.08
1988-01-29,257.07
1988-02-29,267.82
1988-03-31,258.89
1988-04-29,261.33
1988-05-31,262.16
1988-06-30,273.5
1988-07-29,272.02
1988-08-31,261.52
1988-09-30,271.91
1988-10-31,278.97
1988-11-30,273.7
1988-12-30,277.72
1989-01-31,297.47
1989-02-28,288.86
1989-03-31,294.87
1989-04-28,309.64
1989-05-31,320.52
1989-06-30,317.98
1989-07-31,346.08
1989-08-31,351.45
1989-09-29,349.15
1989-10-31,340.36
1989-11-30,345.99
1989-12-29,353.4
1990-01-31,329.08
1990-02-28,331.89
1990-03-30,339.94
1990-04-30,330.8
1990-05-31,361.23
1990-06-29,358.02
1990-07-31,356.15
1990-08-31,322.56
1990-09-28,306.05
1990-10-31,304.0
1990-11-30,322.22
1990-12-31,330.22
1991-01-31,343.93
1991-02-28,367.07
1991-03-29,367.07
1991-04-30,375.34
1991-05-31,389.83
1991-06-28,371.16
1991-07-31,387.81
1991-08-30,395.43
1991-09-30,387.86
1991-10-31,392.45
1991-11-29,375.22
1991-12-31,417.09
1992-01-31,408.78
1992-02-28,412.7
1992-03-31,403.69
1992-04-30,414.95
1992-05-29,415.35
1992-06-30,408.14
1992-07-31,424.21
1992-08-31,414.03
1992-09-30,417.8
1992-10-30,418.68
1992-11-30,431.35
1992-12-31,435.71
1993-01-29,438.78
1993-02-26,443.38
1993-03-31,451.67
1993-04-30,440.19
1993-05-31,440.19
1993-06-30,450.53
1993-07-30,448.13
1993-08-31,463.56
1993-09-30,458.93
1993-10-29,467.83
1993-11-30,461.79
1993-12-31,466.45
1994-01-31,481.61
1994-02-28,467.14
1994-03-31,445.77
1994-04-29,450.91
1994-05-31,456.5
1994-06-30,444.27
1994-07-29,458.26
1994-08-31,475.49
1994-09-30,462.71
1994-10-31,472.35
1994-11-30,453.69
1994-12-30,459.27
1995-01-31,470.42
1995-02-28,487.39
1995-03-31,500.71
1995-04-28,514.71
1995-05-31,533.4
1995-06-30,544.75
1995-07-31,562.06
1995-08-31,561.88
1995-09-29,584.41
1995-10-31,581.5
1995-11-30,605.37
1995-12-29,615.93
1996-01-31,636.02
1996-02-29,640.43
1996-03-29,645.5
1996-04-30,654.17
1996-05-31,669.12
1996-06-28,670.63
1996-07-31,639.95
1996-08-30,651.99
1996-09-30,687.33
1996-10-31,705.27
1996-11-29,757.02
1996-12-31,740.74
1997-01-31,786.16
1997-02-28,790.82
1997-03-31,757.12
1997-04-30,801.34
1997-05-30,848.28
1997-06-30,885.14
1997-07-31,954.31
1997-08-29,899.47
1997-09-30,947.28
1997-10-31,914.62
1997-11-28,955.4
1997-12-31,970.43
1998-01-30,980.28
1998-02-27,1049.34
1998-03-31,1101.75
1998-04-30,1111.75
1998-05-29,1090.82
1998-06-30,1133.84
1998-07-31,1120.67
1998-08-31,957.28
1998-09-30,1017.01
1998-10-30,1098.67
1998-11-30,1163.63
1998-12-31,1229.23
1999-01-29,1279.64
1999-02-26,1238.33
1999-03-31,1286.37
1999-04-30,1335.18
1999-05-31,1335.18
1999-06-30,1372.71
1999-07-30,1328.72
1999-08-31,1320.41
1999-09-30,1282.71
1999-10-29,1362.93
1999-11-30,1389.07
1999-12-31,1469.25
2000-01-31,1394.46
2000-02-29,1366.42
2000-03-31,1498.58
2000-04-28,1452.43
2000-05-31,1420.6
2000-06-30,1454.6
2000-07-31,1430.83
2000-08-31,1517.68
2000-09-29,1436.51
2000-10-31,1429.4
2000-11-30,1314.95
2000-12-29,1320.28
2001-01-31,1366.01
2001-02-28,1239.94
2001-03-30,1160.33
2001-04-30,1249.46
2001-05-31,1255.82
2001-06-29,1224.38
2001-07-31,1211.23
2001-08-31,1133.58
2001-09-28,1040.94
2001-10-31,1059.78
2001-11-30,1139.45
2001-12-31,1148.08
2002-01-31,1130.2
2002-02-28,1106.73
2002-03-29,1106.73
2002-04-30,1076.92
2002-05-31,1067.14
2002-06-28,989.82
2002-07-31,911.62
2002-08-30,916.07
2002-09-30,815.28
2002-10-31,885.76
2002-11-29,936.31
2002-12-31,879.82
2003-01-31,855.7
2003-02-28,841.15
2003-03-31,848.18
2003-04-30,916.92
2003-05-30,963.59
2003-06-30,974.5
2003-07-31,990.31
2003-08-29,1008.01
2003-09-30,995.97
2003-10-31,1050.71
2003-11-28,1058.2
2003-12-31,1111.92
2004-01-30,1131.13
2004-02-27,1144.94
2004-03-31,1126.21
2004-04-30,1107.3
2004-05-31,1107.3
2004-06-30,1140.84
