Date,dxy
1978-01-31,94.6
1978-02-28,94.6
1978-03-31,93.84
1978-04-28,95.62
1978-05-31,95.46
1978-06-30,93.53
1978-07-31,90.94
1978-08-31,90.0
1978-09-29,88.83
1978-10-31,83.07
1978-11-30,90.22
1978-12-29,86.5
1979-01-31,88.86
1979-02-28,88.18
1979-03-30,88.53
1979-04-30,89.98
1979-05-31,90.53
1979-06-29,87.85
1979-07-31,87.31
1979-08-31,87.19
1979-09-28,85.45
1979-10-31,88.95
1979-11-30,86.79
1979-12-31,85.82
1980-01-31,86.14
1980-02-29,87.65
1980-03-31,93.58
1980-04-30,88.11
1980-05-30,85.93
1980-06-30,85.2
1980-07-31,86.08
1980-08-29,85.85
1980-09-30,86.02
1980-10-31,88.38
1980-11-28,90.01
1980-12-31,90.39
1981-01-30,95.24
1981-02-27,97.06
1981-03-31,96.76
1981-04-30,100.45
1981-05-29,104.95
1981-06-30,107.71
1981-07-31,111.72
1981-08-31,110.28
1981-09-30,107.73
1981-10-30,106.13
1981-11-30,103.18
1981-12-31,104.69
1982-01-29,108.03
1982-02-26,111.93
1982-03-31,114.73
1982-04-30,111.6
1982-05-31,112.79
1982-06-30,119.04
1982-07-30,119.05
1982-08-31,120.29
1982-09-30,122.2
1982-10-29,124.78
1982-11-30,121.0
1982-12-31,117.36
1983-01-31,121.12
1983-02-28,120.35
1983-03-31,122.21
1983-04-29,122.39
1983-05-31,123.79
1983-06-30,124.94
1983-07-29,128.44
1983-08-31,130.84
1983-09-30,128.35
1983-10-31,128.4
1983-11-30,130.64
1983-12-30,131.79
1984-01-31,135.51
1984-02-29,128.25
1984-03-30,128.22
1984-04-30,132.64
1984-05-31,133.69
1984-06-29,136.26
1984-07-31,141.29
1984-08-31,140.33
1984-09-28,147.55
1984-10-31,146.39
1984-11-30,149.21
1984-12-31,151.47
1985-01-31,152.72
1985-02-28,160.41
1985-03-29,149.18
1985-04-30,149.7
1985-05-31,147.86
1985-06-28,146.12
1985-07-31,137.26
1985-08-30,138.2
1985-09-30,132.12
1985-10-31,129.39
1985-11-29,124.99
1985-12-31,123.46
1986-01-31,121.52
1986-02-28,115.08
1986-03-31,117.92
1986-04-30,111.77
1986-05-30,117.51
1986-06-30,111.61
1986-07-31,108.04
1986-08-29,106.43
1986-09-30,106.74
1986-10-31,109.27
1986-11-28,105.92
1986-12-31,103.58
1987-01-30,99.86
1987-02-27,99.26
1987-03-31,97.11
1987-04-30,95.94
1987-05-29,97.77
1987-06-30,98.13
1987-07-31,99.79
1987-08-31,97.32
1987-09-30,98.57
1987-10-30,93.65
1987-11-30,89.15
1987-12-31,85.42
1988-01-29,90.34
1988-02-29,90.53
1988-03-31,88.3
1988-04-29,89.16
1988-05-31,91.09
1988-06-30,95.41
1988-07-29,97.53
1988-08-31,98.42
1988-09-30,97.69
1988-10-31,93.76
1988-11-30,90.53
1988-12-30,92.5
1989-01-31,96.77
1989-02-28,94.9
1989-03-31,98.14
1989-04-28,97.71
1989-05-31,102.98
1989-06-30,102.02
1989-07-31,97.39
1989-08-31,102.28
1989-09-29,98.47
1989-10-31,98.07
1989-11-30,96.27
1989-12-29,93.21
1990-01-31,92.41
1990-02-28,93.29
1990-03-30,93.69
1990-04-30,93.07
