Date,USD
1978-01-31,207.83
1978-02-28,227.27
1978-03-31,245.67
1978-04-28,242.05
1978-05-31,239.16
1978-06-30,257.62
1978-07-31,279.07
1978-08-31,294.74
1978-09-29,300.82
1978-10-31,355.11
1978-11-30,391.66
1978-12-29,391.99
1979-01-31,455.08
1979-02-28,675.31
1979-03-30,665.32
1979-04-30,553.58
1979-05-31,517.41
1979-06-29,513.82
1979-07-31,600.72
1979-08-31,644.28
1979-09-28,627.15
1979-10-31,673.63
1979-11-30,661.15
1979-12-31,623.46
1980-01-31,594.92
1980-02-29,557.39
1980-03-31,499.76
1980-04-30,498.76
1980-05-30,495.8
1980-06-30,479.7
1980-07-31,460.76
1980-08-29,409.28
1980-09-30,410.16
1980-10-31,443.75
1980-11-28,437.75
1980-12-31,413.37
1981-01-30,410.09
1981-02-27,384.13
1981-03-31,374.13
1981-04-30,330.25
1981-05-29,350.34
1981-06-30,333.82
1981-07-31,314.98
1981-08-31,338.97
1981-09-30,364.23
1981-10-30,437.31
1981-11-30,422.15
1981-12-31,414.91
1982-01-29,444.29
1982-02-26,481.29
1982-03-31,491.2
1982-04-30,419.7
1982-05-31,432.88
1982-06-30,438.01
1982-07-30,412.84
1982-08-31,422.72
1982-09-30,416.24
1982-10-29,411.8
1982-11-30,393.58
1982-12-31,381.66
1983-01-31,388.34
1983-02-28,370.89
1983-03-31,385.92
1983-04-29,394.26
1983-05-31,381.36
1983-06-30,377.4
1983-07-29,377.67
1983-08-31,347.47
1983-09-30,347.68
1983-10-31,341.09
1983-11-30,340.17
1983-12-30,341.18
1984-01-31,320.16
1984-02-29,302.79
1984-03-30,299.1
1984-04-30,303.94
1984-05-31,325.27
1984-06-29,316.37
1984-07-31,316.49
1984-08-31,317.22
1984-09-28,329.79
1984-10-31,323.35
1984-11-30,325.84
1984-12-31,325.3
1985-01-31,321.88
1985-02-28,345.38
1985-03-29,338.89
1985-04-30,345.7
1985-05-31,340.44
1985-06-28,342.38
1985-07-31,342.72
1985-08-30,348.34
1985-09-30,376.59
1985-10-31,417.73
1985-11-29,423.51
1985-12-31,397.55
1986-01-31,390.92
1986-02-28,408.26
1986-03-31,401.11
1986-04-30,408.91
1986-05-30,438.35
1986-06-30,460.23
1986-07-31,449.59
1986-08-29,450.52
1986-09-30,461.15
1986-10-31,460.35
1986-11-28,465.35
1986-12-31,467.57
1987-01-30,486.24
1987-02-27,476.58
1987-03-31,442.07
1987-04-30,443.61
1987-05-29,451.55
1987-06-30,451.07
1987-07-31,451.33
1987-08-31,437.63
1987-09-30,431.28
1987-10-30,413.45
1987-11-30,406.78
1987-12-31,420.17
1988-01-29,419.05
1988-02-29,404.01
1988-03-31,387.51
1988-04-29,390.15
1988-05-31,384.4
1988-06-30,371.05
1988-07-29,367.6
1988-08-31,375.04
1988-09-30,365.14
1988-10-31,361.75
1988-11-30,366.88
1988-12-30,394.26
1989-01-31,409.39
1989-02-28,410.11
1989-03-31,416.81
1989-04-28,393.06
1989-05-31,374.24
1989-06-30,369.05
1989-07-31,352.33
1989-08-31,362.53
1989-09-29,394.73
1989-10-31,389.32
1989-11-30,380.74
1989-12-29,381.72
1990-01-31,376.95
1990-02-28,383.64
1990-03-30,363.83
1990-04-30,363.33
1990-05-31,358.38
1990-06-29,356.95
1990-07-31,366.72
1990-08-31,367.68
1990-09-28,356.3
1990-10-31,348.74
1990-11-30,358.69
1990-12-31,360.17
1991-01-31,361.72
1991-02-28,354.45
1991-03-29,353.91
1991-04-30,344.34
1991-05-31,338.62
1991-06-28,337.24
1991-07-31,340.8
